Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
19352,Anti-Social Behaviour Act 2003,S.4(1) & (3),Remaining on or entering premises in contravention of a closure notice issued by a constable or other authorised person / CJS: AS03015,6 months or L5 or both,-,193/52,193/52,-,-,193/52,No,2009 or earlier
19349,Anti-Social Behaviour Act 2003,S.4 (2)(a) & (3),Obstructing a constable etc. acting under A.1(6)or 3(2) Ð serving closure Notice / CJS: AS03001,6 months or L5 or both,-,193/49,193/49,-,-,193/49,No,2009 or earlier
19350,Anti-Social Behaviour Act 2003,S.4 (2)(b) & (3),Remaining on premises in respect of which a closure notice has been made / CJS: AS03002,6 months or L5 or both,-,193/50,193/50,-,-,193/50,No,2009 or earlier
19351,Anti-Social Behaviour Act 2003,S.4 (2)(c) & (3),Entering premises in respect of which a closure notice has been made / CJS: AS03003,6 months or L5 or both,-,193/51,193/51,-,-,193/51,No,2009 or earlier
19688,Anti-Social Behaviour Act 2003 / added by / Criminal Justice and Immigration Act 2008,S.11(D)(1) & (3),Remaining on or entering premises in contravention of Part 1A closure notice / CJS: AS03018,51 weeks [6 months] or L5 or both* ,-,196/88,196/88,-,-,196/88,No,2009 or earlier
19689,Anti-Social Behaviour Act 2003 / added by / Criminal Justice and Immigration Act 2008,S.11D(2)(a) & (3),Obstructing a person acting under S.11A(7) or 11C(20 / CJS: AS03019,51 weeks [6 months] or L5 or both* ,-,196/89,196/89,-,-,196/89,No,2009 or earlier
19690,Anti-Social Behaviour Act 2003 / added by / Criminal Justice and Immigration Act 2008,S.11D(2)(b) & (3),Remaining on closed premises / CJS: AS03020,51 weeks [6 months] or L5 or both* ,-,196/90,196/90,-,-,196/90,No,2009 or earlier
19691,Anti-Social Behaviour Act 2003 / added by / Criminal Justice and Immigration Act 2008,S.11D(2) (C) & (3),Entering closed premises / CJS: AS03021,51 weeks [6 months] or L5 or both* ,-,196/91,196/91,-,-,196/91,No,2009 or earlier
19615,Anti-social Behaviour Act 2003,S.32,Contravention of a direction given by a constable under S.30(4) [dispersal of groups and removal of persons under 16 to their place of residence] / CJS: AS03004,3 months or L4 or both,-,196/15,196/15,-,-,196/15,No,2009 or earlier
19616,Anti-social Behaviour Act 2003,S.40 (4) & (5),Without reasonable excuse permitting premises to be open in contravention of closure order / CJS: AS03005,"3 months or £20,000 or both",-,196/16,196/16,-,-,196/16,No,2009 or earlier
13819,Anti-Social Behaviour Act 2003 / added by / Clean Neighbourhoods and Environment Act 2005,S.43B ,Failure to give name and address or giving false or inaccurate name or address when required to do so / CJS: AS03016-17,L3,-,138/19,138/19,-,-,138/19,No,2009 or earlier
19617,Anti-social Behaviour Act 2003,S.54 / SS.58 & 61,Selling aerosol paint container to a person under 16 years / CJS: AS03006 / see Criminal Justice & Public Order Act 1986 SS.63 (7A) & (7B) & 62B,L4,-,196/17,196/17,-,-,196/17,No,2009 or earlier
19624,Anti-social Behaviour Act 2003,S.74,Intentionally obstructing a person acting in the exercise of the powers of entry for the purpose of complaints and appeals / CJS: AS03012-14,L3,-,196/24,196/24,-,-,196/24,No,2009 or earlier
19624,Anti-social Behaviour Act 2003,S.74(7),Obstruction of person acting in the exercise of his powers under Section 74 / CJS: AS03012-14,L3,-,196/24,196/24,-,-,196/24,No,2009 or earlier
19619,Anti-social Behaviour Act 2003,S.75(1),Action not taken in accordance with remedial notice / CJS: AS03007,L3,-,196/19,196/19,-,-,196/19,No,2009 or earlier
19620,Anti-social Behaviour Act 2003,S.75 (7) & (9),Continuing failure to comply with remedial notice / CJS: AS03008,L3,-,196/20,196/20,-,-,196/20,No,2009 or earlier
19621,Anti-social Behaviour Act 2003,S.75 (10),Continuing failure to comply with remedial order after conviction under Section 75(9) / CJS: AS03009,"1/20 of L3 fine daily (until complied with)",-,196/21,196/21,-,-,196/21,No,2009 or earlier
19622,"Anti-social Behaviour Act 2003 / Anti-Terrorism, Crime and Security Act 2001 / Anti-Terrorism, Crime and Security Act 2001 / Anti-Terrorism, Crime and Security Act 2001",S.77 / S.18(6) / S.47 / S.50,"Wilful obstruction of a person acting in the exercise of powers under S.77 to enter land & take action / CJS: AS03010 / Disclosing any information in contravention of direction made under S.18 / CJS: AT01001 / Use, threat of use, production or possession of a nuclear weapon / CJS: AT01002-6 / Weapons related acts overseas / CJS: AT01007-8",L3 / 3 months or L5 or both / - / L4,- / S 95/01 / S 5/22 / S 5/23,196/22 / S 95/01 / S 5/22 / S 5/23,196/22 / - / -,- / 2 years / Life / Life,- / S 95/01 / S 5/22 / S 5/23,196/22 / S 95/01 / - / -,No / Yes / Yes / Yes,2009 or earlier
9502,"Anti-Terrorism, Crime and Security Act 2001",S.52,Obstruction of officer in exercise of power conferred by a warrant or failure without reasonable excuse to comply with a request made by an authorised officer or constable / CJS: AT01009-10,L5 fine,S 95/02,S 95/02,S 95/02,2 years,S 95/02,S 95/02,Yes,2009 or earlier
9503,"Anti-Terrorism, Crime and Security Act 2001",S.54,Knowingly making false or misleading statements for purpose of obtaining or opposing the variation or withdrawal of authorisation for the purposes of SS.47 & 50 / CJS: AT01011,L5 fine,S 95/03,S 95/03,S 95/03,2 years,S 95/03,S 95/03,Yes,2009 or earlier
9504,"Anti-Terrorism, Crime and Security Act 2001",S.67,Occupier failing without reasonable excuse to comply with any duty or direction imposed on him by or under this Part (7); knowingly or recklessly making a statement which is false or misleading / CJS: AT01012-13,6 months or L5 or both,S 95/04,S 95/04,S 95/04,5 years,S 95/04,S 95/04,Yes,2009 or earlier
9972,"Anti-Terrorism, Crime and Security Act 2001",S.77(2)(d) & (3)(a),TEW offences made under this section / CJS: AT01036,6 months or L5 or both,S 99/72,S 99/72,S 99/72,2 years,S 99/72,S 99/72,Yes,2009 or earlier
12562,"Anti-Terrorism, Crime and Security Act 2001",S.77(2)(d) & (3)(b),Summary Regulations made under this section / CJS: AT01037,6 months or L5 or both,-,S 125/62,S 125/62,-,-,S 125/62,Yes,2009 or earlier
6611,"Anti-Terrorism, Crime and Security Act 2001",S.79(3),Prohibition of disclosures relating to nuclear security / CJS: AT01016,6 months or L5 or both,S 66/11,S 66/11,S 66/11,7 years,S 66/11,S 66/11,Yes,2009 or earlier
6612,"Anti-Terrorism, Crime and Security Act 2001",S.80(3),Prohibition of disclosures of uranium enrichment technology / CJS: AT01017,6 months or L5 or both,S 66/12,S 66/12,S 66/12,7 years,S 66/12,S 66/12,Yes,2009 or earlier
524,"Anti-Terrorism, Crime and Security Act 2001",S.113,"Use of noxious substances or things to cause harm and intimidate / CJS: AT01018-20, 22 & 34",6 months or L5 or both,S 5/24,S 5/24,S 5/24,14 years,S 5/24,S 5/24,Yes,2009 or earlier
6615,"Anti-Terrorism, Crime and Security Act 2001",S.114,Hoaxes involving noxious substances or things / CJS: AT01023-25,6 months or L5 or both,S 66/15,S 66/15,S 66/15,7 years,S 66/15,S 66/15,Yes,2009 or earlier
9505,"Anti-Terrorism, Crime and Security Act 2001 ","Sch.3 para.7(2), (3)&(6)",Failure to comply with prohibition imposed by order; engaging in an activity knowing or intending that it will enable or facilitate the commission by another person of an offence under a provision included under para.2 / CJS: AT01026-8,6 months or L5 or both,S 95/05,S 95/05,S 95/05,2 years,S 95/05,S 95/05,Yes,2009 or earlier
12575,"Anti-terrorism, Crime and Security Act 2001",Sch.3 para.7(4),"Failure to provide information, produce documentation etc / CJS: AT01029-35",6 months or L5 or both,-,125/75,125/75,-,-,125/75,No,2009 or earlier
19599,Architects Registration Act 1938 / Army Act 1955,,"Use of title ""Architect"" and factors relating to registration / Provisions concerning army procedure and policy",,-,195/99,195/99,-,-,195/99,No,2009 or earlier
15302,"as amended by / Armed Forces Acts 1966, 1971 & 1996",,a) triable summarily only / CJS: AR55016 +,3 months or L3,-,153/02,153/02,-,-,153/02,No,2009 or earlier
9999,,,b) triable either way / CJS: AR55001 +, 3 months or L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Armed Forces Act 2006,S.344,Aiding or abetting etc desertion or absence without leave / CJS: AF06079-81,12 months [6 months] or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2010
9999,Armed Forces Act 2006,S.345,Aiding or abetting etc malingering / CJS: AF06082-84,12 months [6 months] or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2010
15302,Armed Forces Act 2006,S.346,Obstructing person subject to service law in course of duty / CJS: AF06085,51 weeks [6 months] or L3 or both,-,153/02,153/02,-,-,153/02,No,2010
11003,Artificial Insemination of Cattle (Emergency Licences) (Wales) Regulations 2001 / [SI 2001/1539],,Offence against S.10(6) Animal Health and Welfare Act 1984 (foot and mouth Disease),3 months or L3 or both,-,110/03,110/03,-,-,110/03,No,2009 or earlier
10430,Assaults Ð Provisions in Local Acts,-,On constable,-,-,S 104/30,S 104/30,,,S 104/30,Yes,2009 or earlier
7822,Asylum and Immigration Act 1996 / as amended by / Asylum and Immigration (Treatment of Claimants) Act 2004,S.8 ,Employing a person subject to immigration control who has attained the age of 16 (was 194/35) / CJS: AI96001-2 & AI04007,L5,S 78/22,S 78/22,S 78/22,Fine,S 78/22,S 78/22,Yes,2009 or earlier
7817,Asylum and Immigration (Treatment of Claimants) Act 2004,S.2(1)&(9),Being unable to produce an immigration document at a leave or asylum interview in respect of himself / CJS: AI04001,12 months [6 months] or L5 or both* ,S 78/17,S 78/17,S 78/17,2 years,S 78/17,S 78/17,Yes,2009 or earlier
7818,Asylum and Immigration (Treatment of Claimants) Act 2004,S.2(2) & (9),Being unable to produce an immigration document at a leave or asylum interview in respect of a dependent child / CJS: AI04002,12 months [6 months] or L5 or both* ,S 78/18,S 78/18,S 78/18,2 years,S 78/18,S 78/18,Yes,2009 or earlier
7819,Asylum and Immigration (Treatment of Claimants) Act 2004,S.4(1) & (5),Trafficking people into the UK for the purpose of exploitation / CJS: AI04003,"12 months [6 months] or L5 or both*",S 78/19,S 78/19,S 78/19,14 Years,S 78/19,S 78/19,Yes,2009 or earlier
7820,Asylum and Immigration (Treatment of Claimants) Act 2004,S.4(2) & (5),Trafficking people within the UK for the purpose of exploitation / CJS: AI04004,12 months [6 months] or L5 or both*,S 78/20,S 78/20 ,S 78/20,14 years,S 78/20,S 78/20,Yes,2009 or earlier
7821,Asylum and Immigration (Treatment of Claimants) Act 2004,S.4(3)&(5),Trafficking people out of the UK / CJS: AI04005,12 months [6 months] or L5 or both*,S 78/21,S 78/21,S 78/21,14 years,S 78/21,S 78/21,Yes,2009 or earlier
7823,Asylum and Immigration (Treatment of Claimants) Act 2004,"S.35(1), (3) & (4)",Failure to comply with a requirement to take specified action as the Secretary of State required / CJS: AI04006,12 months [6 months] or L5 or both*,S 78/23,S 78/23,S 78/23,2 years,S 78/23,S 78/23,Yes,2009 or earlier
15305,Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007.,"5(a-k), 7(2)(a-t), 8(2), 8(3)(a-c), 8(4), 8(5), 8(6). ",Offences carried out in the Protected areas of AWE Aldermaston / CJS: AE07001 - 43,L2,-,153/05,153/05,-,-,153/05,No,2014
15305,Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010,"5(a-j), 7(a-s), 8(2), 8(3)(a-c), 8(4), 8(5), 8(6)",Offences carried out in the Protected areas of AWE Burghfield / CJS: AE10001 - 41,L2,-,153/05,153/05,-,-,153/05,No,2014
19599,Attachment of Earnings Act 1971,,Attachment of earnings as a means of enforcing the discharge of monetary obligations / CJS: AE71001+,L2,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9856,"Attachment of Earnings Act 1971 / added by / Tribunals, Courts and Enforcement Act 2007 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990 / Aviation and Maritime Security Act 1990",S.15B / S.1 / SS.9 & 10 / S.11 / S.12 / S.13 / S.14(4) / S.14(4),"Disclosing debtor information without authority / CJS: AE71002 / Endangering safety at aerodromes [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90002-5 & 9 / Hijacking of ships or fixed sea platform [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90013-14 / Destroying ships or fixed platforms endangering their safety [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90015-34 / Other acts endangering or likely to endanger safe navigation / CJS: AV90035-38 / Compelling by threatening to destroy or damage ship or sea platform or property used in navigation [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90039-40 / Inducing commission of offence relating to safety of ship, cargo or sea platform outside UK [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90041 / Assisting commission of offence relating to safety of ship, cargo or sea platform outside the UK [Proceedings cannot be instituted except by or with consent of Attorney General] / CJS: AV90042",12 months [6 months] or L5 or both / - / - / - / - / - / - / -,S 98/56 / S 5/26 / S 36/02 / S 7/14 / S 7/15 / S 66/44 / S 7/16 / S 7/17,S 98/56 / S 5/26 / S 36/02 / S 7/14 / S 7/15 / S 66/44 / S 7/16 / S 7/17,S 98/56 / - / - / - / - / - / - / -,2 years / Life / Life / Life / Life / Life / Life / Life,S 98/56 / S 5/26 / S 36/02 / S 7/14 / S 7/15 / S 66/44 / S 7/16 / S 7/17,S 98/56 / - / - / - / - / - / - / -,Yes,2009 or earlier
9526,Aviation and Maritime Security Act 1990,S.19,Failing to provide information or making false statement relating to ship or harbour area / CJS: AV90033 & AV90044,L5,S 95/26,S 95/26,S 95/26,2 years,S 95/26,S 95/26,Yes,2009 or earlier
9804,Aviation and Maritime Security Act 1990,"SS.21, 22, 23, 24, 31(1)&(3), 36, 40(1a) &(2), 42 (1) &(3a) & 48",TEW offences / CJS: AV90045-60,L5,S 98/04,S 98/04,S 98/04,2 years,S 98/04,S 98/04,Yes,2009 or earlier
19636,Aviation and Maritime Security Act 1990 / Aviation Security Act 1982 / Aviation Security Act 1982 / Aviation Security Act 1982,"SS.37, 38, 39,40(1b)& (3) &42(3b) / S.1 / S.2 / S.3","Summary offences / CJS: AV90063-67 / Seizing an aircraft in flight by unlawful use of force or threats by person on board the aircraft / CJS: AV82001 / Destroying, damaging or endangering safety of aircraft / CJS: AV82002-7 / Other acts endangering or likely to endanger safety of aircraft / CJS: AV82008-11",L5 / - / - / -,- / S 36/02 / S 36/02 / S 36/02,196/36 / S 36/02 / S 36/02 / S 36/02,196/36 / - / - / -,- / Life / Life / Life,- / S 36/02 / S 36/02 / S 36/02,196/36 / - / - / -,No / Yes / Yes / Yes,2009 or earlier
9812,Aviation Security Act 1982,S.4 / S.6,Offences in relation to certain dangerous articles / CJS: AV82012-14 / Inducing or assisting in the commission of an offence outside the UK / CJS: AV82015-16,3 months or L5 or both / -,S 98/12 / S 36/02,S 98/12 / S 36/02,S 98/12 / -,5 years / Life,S 98/12 / S 36/02,S 98/12 / -,Yes,2009 or earlier
9999,Aviation Security Act 1982,"SS.7, 11, 12, 13, 14 & 20",Relating to the exercise of powers / CJS: AV82017-27; AV82061-62,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9823,Aviation Security Act 1982,S.18C (1),Failure to comply with Section 18A enforcement notice / CJS: AV82067,L5,S 98/23,S 98/23,S 98/23,Fine,S 98/23,S 98/23,Yes,2009 or earlier
9824,Aviation Security Act 1982,S.18C (3),Interference with buildings constructed or work executed or anything installed on or over land under S.18A notice / CJS: AV82068,L5,S 98/24,S 98/24,S 98/24,Fine,S 98/24,S 98/24,Yes,2009 or earlier
9973,Aviation Security Act 1982,S.20A (3)(c) and (4)(a),Regulations may create a criminal offence - direction under SS.12 - 14,L5,S 99/73,S 99/73,S 99/73,2 years,S 99/73,S 99/73,Yes,2009 or earlier
9974,Aviation Security Act 1982,S.20B (7) and (8),Failure to comply with a requirement of a detention direction; intentionally obstructing a person acting in accordance with ss.(3) (authorised person ensuring aircraft does not fly) / CJS: AV82064-65,L5,S 99/74,S 99/74,S 99/74,2 years,S 99/74,S 99/74,Yes,2009 or earlier
19587,Aviation Security Act 1982 / Aviation Security Act 1982 / added by / Aviation Maritime Security Act 1990,S.21F(1) & (2) / S.21A,"With intent to deceive issuing a document purporting to be issued by a person on a list of approved air cargo agents maintained under S.21F(2)(a) / CJS: AV82066 / False statement relating to baggage, cargo etc / CJS: AV82028+",6 months or L5 or both / L5,-,195/87 / 195/99,195/87 / -,-,-,195/87 / 195/99,No,2009 or earlier
8301,Bail Act 1976,S.6,Failing to surrender to bail / CJS: BA76001-2,3 months or L5 or both,-,S 83/01,S 83/01,12 months,-,S 83/01,No,2009 or earlier
8302,Bail Act 1976,S.9,Indemnifying surety for bail / CJS: BA76003,"3 months or £1,000 or both",S 83/02,S 83/02,S 83/02,12 months,S 83/02,S 83/02,Yes,2009 or earlier
9999,Banking Act 1987,S.35,Fraudulent inducement to make a deposit / CJS: BK87011-14,6 months or L5 or both,S 99/99,S 99/99,S 99/99,7 years,S 99/99,S 99/99,Yes,2009 or earlier
19599,Bees Act 1980,SS.1 & 2,Bees - health and welfare,L5,-,195/99,195/99,-,-,195/99,No,2009 or earlier
11603,Behring Sea Award Act 1894,,Offences against fishery laws,,-,116/03,116/03,-,-,116/03,No,2009 or earlier
9924,Betting and Gaming Duties Act 1981,,Prohibitions for the protection of revenue / CJS: BD81001-BD81020,L5,S 99/24,S 99/24,S 99/24,2 years,S 99/24,S 99/24,Yes,2009 or earlier
